result_set_id,result_dir,metadata_dir,approach_id,approach_label,collection,budget,seed,generations,population_size,mutation_rate,is_reference,include_in_main
greedy_planar_weighted_small_b030,planar_weighted_small_30,greedy/planar_weighted_small_30,greedy,Greedy Baseline,planar_weighted_small,30,,,,,false,true
greedy_planar_weighted_small_b100,planar_weighted_small_100,greedy/planar_weighted_small_100,greedy,Greedy Baseline,planar_weighted_small,100,,,,,false,true
greedy_planar_weighted_small_b200,planar_weighted_small_200,greedy/planar_weighted_small_200,greedy,Greedy Baseline,planar_weighted_small,200,,,,,false,true
greedy_planar_weighted_small_b300,planar_weighted_small_300,greedy/planar_weighted_small_300,greedy,Greedy Baseline,planar_weighted_small,300,,,,,false,true
greedy_planar_weighted_small_b500,planar_weighted_small_500,greedy/planar_weighted_small_500,greedy,Greedy Baseline,planar_weighted_small,500,,,,,false,true
greedy_planar_weighted_medium_b100,planar_weighted_medium_100,greedy/planar_weighted_medium_100,greedy,Greedy Baseline,planar_weighted_medium,100,,,,,false,true
greedy_planar_weighted_medium_b200,planar_weighted_medium_200,greedy/planar_weighted_medium_200,greedy,Greedy Baseline,planar_weighted_medium,200,,,,,false,true
greedy_planar_weighted_medium_b300,planar_weighted_medium_300,greedy/planar_weighted_medium_300,greedy,Greedy Baseline,planar_weighted_medium,300,,,,,false,true
greedy_planar_weighted_medium_b500,planar_weighted_medium_500,greedy/planar_weighted_medium_500,greedy,Greedy Baseline,planar_weighted_medium,500,,,,,false,true
greedy_planar_weighted_large_b100,planar_weighted_large_100,greedy/planar_weighted_large_100,greedy,Greedy Baseline,planar_weighted_large,100,,,,,false,true
greedy_planar_weighted_large_b200,planar_weighted_large_200,greedy/planar_weighted_large_200,greedy,Greedy Baseline,planar_weighted_large,200,,,,,false,true
greedy_planar_weighted_large_b300,planar_weighted_large_300,greedy/planar_weighted_large_300,greedy,Greedy Baseline,planar_weighted_large,300,,,,,false,true
greedy_planar_weighted_large_b500,planar_weighted_large_500,greedy/planar_weighted_large_500,greedy,Greedy Baseline,planar_weighted_large,500,,,,,false,true
exact_planar_weighted_small_b030,planar_weighted_small_choco_budget30,exact/planar_weighted_small_choco_budget30,exact,Small-Instance Exact Solver,planar_weighted_small,30,,,,,true,true
exact_planar_weighted_small_b100,planar_weighted_small_choco_budget100,exact/planar_weighted_small_choco_budget100,exact,Small-Instance Exact Solver,planar_weighted_small,100,,,,,true,true
ga_planar_weighted_small_b030_seed001,planar_weighted_small_ga_budget030_seed001_g100_p50_m0p1,genetic/planar_weighted_small_ga_budget030_seed001_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_small,30,1,100,50,0.1,false,true
ga_planar_weighted_small_b030_seed002,planar_weighted_small_ga_budget030_seed002_g100_p50_m0p1,genetic/planar_weighted_small_ga_budget030_seed002_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_small,30,2,100,50,0.1,false,true
ga_planar_weighted_small_b030_seed003,planar_weighted_small_ga_budget030_seed003_g100_p50_m0p1,genetic/planar_weighted_small_ga_budget030_seed003_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_small,30,3,100,50,0.1,false,true
ga_planar_weighted_small_b100_seed001,planar_weighted_small_ga_seed001_g100_p50_m0p1,genetic/planar_weighted_small_ga_seed001_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_small,100,1,100,50,0.1,false,true
ga_planar_weighted_small_b100_seed002,planar_weighted_small_ga_seed002_g100_p50_m0p1,genetic/planar_weighted_small_ga_seed002_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_small,100,2,100,50,0.1,false,true
ga_planar_weighted_small_b100_seed003,planar_weighted_small_ga_seed003_g100_p50_m0p1,genetic/planar_weighted_small_ga_seed003_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_small,100,3,100,50,0.1,false,true
ga_planar_weighted_medium_b100_seed001,planar_weighted_medium_ga_seed001_g100_p50_m0p1,genetic/planar_weighted_medium_ga_seed001_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_medium,100,1,100,50,0.1,false,true
ga_planar_weighted_medium_b100_seed002,planar_weighted_medium_ga_seed002_g100_p50_m0p1,genetic/planar_weighted_medium_ga_seed002_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_medium,100,2,100,50,0.1,false,true
ga_planar_weighted_medium_b100_seed003,planar_weighted_medium_ga_seed003_g100_p50_m0p1,genetic/planar_weighted_medium_ga_seed003_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_medium,100,3,100,50,0.1,false,true
ga_planar_weighted_medium_b200_seed001,planar_weighted_medium_ga_budget200_seed001_g100_p50_m0p1,genetic/planar_weighted_medium_ga_budget200_seed001_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_medium,200,1,100,50,0.1,false,true
ga_planar_weighted_medium_b200_seed002,planar_weighted_medium_ga_budget200_seed002_g100_p50_m0p1,genetic/planar_weighted_medium_ga_budget200_seed002_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_medium,200,2,100,50,0.1,false,true
ga_planar_weighted_medium_b200_seed003,planar_weighted_medium_ga_budget200_seed003_g100_p50_m0p1,genetic/planar_weighted_medium_ga_budget200_seed003_g100_p50_m0p1,ga,Genetic Algorithm,planar_weighted_medium,200,3,100,50,0.1,false,true
